Store,MAIN_BARCODE,RETAIL PRICE,MARKDOWN PERC,SELL PRICE,TOTAL DISCOUNT,WAC PER TRANSACTION,TransType,SOLD QTY,SALES AMOUNT W/O VAT,WAC AMOUNT PER TRANSACTION,MARGIN,NET_VALUE
124,193392133712,1099000,0,1099000,0,343542.5438,45,1,999090.9091,343542.5438,655548.3653,1099000
124,193394068227,799000,0,799000,0,237638.4157,45,1,726363.6364,237638.4157,488725.2207,799000
124,193390439250,849000,0,849000,0,261536.82,45,1,771818.1818,261536.82,510281.3618,849000
124,193395087241,1499000,0,1499000,0,454169.795,45,1,1362727.273,454169.795,908557.4777,1499000
124,193392301036,399000,0,399000,0,127809.6188,45,1,362727.2727,127809.6188,234917.654,399000
124,190286362814,199000,0,199000,0,49540.96356,45,1,180909.0909,49540.96356,131368.1274,199000
124,700053804135,749000,0,749000,0,298453.5113,45,1,680909.0909,298453.5113,382455.5797,749000
124,772259440967,1479000,0,1479000,0,471872.4188,45,1,1344545.455,471872.4188,872673.0358,1479000
124,700053288515,699000,0,699000,0,257726.209,45,1,635454.5455,257726.209,377728.3365,699000
124,700053288546,699000,0,699000,0,255126.7791,45,1,635454.5455,255126.7791,380327.7664,699000
124,193394053797,1099000,0,1099000,0,331409.6375,45,1,999090.9091,331409.6375,667681.2716,1099000
124,700053288898,699000,0,699000,0,255403.8027,45,1,635454.5455,255403.8027,380050.7428,699000
124,700053288539,699000,0,699000,0,258051.8299,45,1,635454.5455,258051.8299,377402.7155,699000
124,700053288959,699000,0,699000,0,255608.5265,45,1,635454.5455,255608.5265,379846.0189,699000
124,700053288539,699000,0,699000,0,258051.8299,45,1,635454.5455,258051.8299,377402.7155,699000
124,193395088118,1349000,0,1349000,0,398395.35,45,1,1226363.636,398395.35,827968.2864,1349000
124,193392106457,499000,0,499000,0,155383.2,45,1,453636.3636,155383.2,298253.1636,499000
124,192360431386,1499000,0,1499000,0,472549.5863,45,1,1362727.273,472549.5863,890177.6865,1499000
124,193395059651,1149000,0,1149000,0,346121.82,45,1,1044545.455,346121.82,698423.6345,1149000
124,700053804241,749000,0,749000,0,300584.6018,45,1,680909.0909,300584.6018,380324.4891,749000
124,700053288874,699000,0,699000,0,255886.8098,45,1,635454.5455,255886.8098,379567.7357,699000
124,193394058143,999000,0,999000,0,305962.8878,45,1,908181.8182,305962.8878,602218.9304,999000
124,658100946775,699000,0,699000,0,248441.7277,45,1,635454.5455,248441.7277,387012.8177,699000
124,700053804128,749000,0,749000,0,300677.1984,45,1,680909.0909,300677.1984,380231.8925,749000
124,193394091218,949000,0,949000,0,300014.4375,45,1,862727.2727,300014.4375,562712.8352,949000
124,700053630024,849000,0,849000,0,377765.9407,45,1,771818.1818,377765.9407,394052.2411,849000
124,700053630000,849000,0,849000,0,377716.2331,45,1,771818.1818,377716.2331,394101.9487,849000
124,700053288911,699000,0,699000,0,255686.1464,45,1,635454.5455,255686.1464,379768.399,699000
124,193392111796,129000,0,129000,0,33122.98125,45,1,117272.7273,33122.98125,84149.74602,129000
124,700053804142,749000,0,749000,0,300759.4164,45,1,680909.0909,300759.4164,380149.6745,749000
124,193394091881,949000,0,949000,0,287800.5938,45,1,862727.2727,287800.5938,574926.679,949000
124,193394055180,1099000,0,1099000,0,314237.5656,45,1,999090.9091,314237.5656,684853.3435,1099000
124,192825081446,349000,0,349000,0,117231.075,45,1,317272.7273,117231.075,200041.6523,349000
124,193392168127,199000,0,199000,0,61910.49375,45,1,180909.0909,61910.49375,118998.5972,199000
124,190287473007,199000,0,199000,0,52173.95872,45,1,180909.0909,52173.95872,128735.1322,199000
124,193395086466,1999000,0,1999000,0,705326.2313,45,1,1817272.727,705326.2313,1111946.496,1999000
124,193395084158,2199000,0,2199000,0,703092.555,45,1,1999090.909,703092.555,1295998.354,2199000
124,772204278300,1629000,0,1629000,0,518175.225,45,1,1480909.091,518175.225,962733.8659,1629000
124,193394054275,1099000,0,1099000,0,331407.4721,45,1,999090.9091,331407.4721,667683.437,1099000
124,190287473007,199000,0,199000,0,52173.95872,45,1,180909.0909,52173.95872,128735.1322,199000
124,193394052516,1099000,0,1099000,0,307157.9248,45,1,999090.9091,307157.9248,691932.9843,1099000
124,700053843561,749000,0,749000,0,288703.4848,45,1,680909.0909,288703.4848,392205.6062,749000
124,193393074830,1199000,0,1199000,0,382083.6042,45,1,1090000,382083.6042,707916.3958,1199000
124,190286362814,199000,0,199000,0,49540.96356,45,1,180909.0909,49540.96356,131368.1274,199000
124,193391143385,1199000,0,1199000,0,353109.435,45,1,1090000,353109.435,736890.565,1199000
124,700053843561,749000,0,749000,0,288703.4848,45,1,680909.0909,288703.4848,392205.6062,749000
124,700053629394,849000,0,849000,0,377166.5671,45,1,771818.1818,377166.5671,394651.6147,849000
124,193395012632,1449000,0,1449000,0,447439.9967,45,1,1317272.727,447439.9967,869832.7306,1449000
124,193395053611,1599000,0,1599000,0,492623.04,45,1,1453636.364,492623.04,961013.3236,1599000
124,680975167146,1099000,0,1099000,0,350515.35,45,1,999090.9091,350515.35,648575.5591,1099000
124,700053288874,699000,0,699000,0,255886.8098,45,1,635454.5455,255886.8098,379567.7357,699000
124,193394087426,899000,0,899000,0,254295.45,45,1,817272.7273,254295.45,562977.2773,899000
124,193391172132,599000,0,599000,0,188853.0188,45,1,544545.4545,188853.0188,355692.4358,599000
124,193395023126,1099000,0,1099000,0,342685.2102,45,1,999090.9091,342685.2102,656405.6989,1099000
124,193392111550,99000,0,99000,0,25319.1375,45,1,90000,25319.1375,64680.8625,99000
124,193392111529,149000,0,149000,0,34683.75,45,1,135454.5455,34683.75,100770.7955,149000
124,193392301036,399000,0,399000,0,127809.6188,45,1,362727.2727,127809.6188,234917.654,399000
124,700053288911,699000,0,699000,0,255686.1464,45,1,635454.5455,255686.1464,379768.399,699000
124,193395090319,1299000,0,1299000,0,411226.3575,45,1,1180909.091,411226.3575,769682.7334,1299000
124,193391111490,199000,0,199000,0,63644.68125,45,1,180909.0909,63644.68125,117264.4097,199000
124,193392111802,99000,0,99000,0,30001.44375,45,1,90000,30001.44375,59998.55625,99000
124,193392168943,249000,0,249000,49800,83414.41875,45,1,181090.9091,83414.41875,97676.49034,199200
124,193391315898,1099000,0,1099000,0,345888.0425,45,1,999090.9091,345888.0425,653202.8666,1099000
124,772259439411,1099000,0,1099000,0,340704.905,45,1,999090.9091,340704.905,658386.0041,1099000
124,193391315607,1099000,0,1099000,0,345888.0425,45,1,999090.9091,345888.0425,653202.8666,1099000
